G03;0020
G04;0021
G05;0022
G06;0023
G07;0024
G08;0025
G09;0026
G0A;0027
G0B;0028
G0C;0029
G0D;002A
G0E;002B
G0F;002C
G10;002D
G11;002E
G12;002F
G13;0030
G14;0031
G15;0032
G16;0033
G17;0034
G18;0035
G19;0036
G1A;0037
G1B;0038
G1C;0039
G1D;003A
G1E;003B
G1F;003C
G20;003D
G21;003E
G22;003F
G23;0040
G24;0041
G25;0042
G26;0043
G27;0044
G28;0045
G29;0046
G2A;0047
G2B;0048
G2C;0049
G2D;004A
G2E;004B
G2F;004C
G30;004D
G31;004E
G32;004F
G33;0050
G34;0051
G35;0052
G36;0053
G37;0054
G38;0055
G39;0056
G3A;0057
G3B;0058
G3C;0059
G3D;005A
G3E;005B
G3F;005C
G40;005D
G41;005E
G42;005F
G43;0060
G44;0061
G45;0062
G46;0063
G47;0064
G48;0065
G49;0066
G4A;0067
G4B;0068
G4C;0069
G4D;006A
G4E;006B
G4F;006C
G50;006D
G51;006E
G52;006F
G53;0070
G54;0071
G55;0072
G56;0073
G57;0074
G58;0075
G59;0076
G5A;0077
G5B;0078
G5C;0079
G5D;007A
G5E;007B
G5F;007C
G60;007D
G61;007E
G62;00C4
G63;00C5
G64;00C7
G65;00C9
G66;00D1
G67;00D6
G68;00DC
G69;00E1
G6A;00E0
G6B;00E2
G6C;00E4
G6D;00E3
G6E;00E5
G6F;00E7
G70;00E9
G71;00E8
G72;00EA
G73;00EB
G74;00ED
G75;00EC
G76;00EE
G77;00EF
G78;00F1
G79;00F3
G7A;00F2
G7B;00F4
G7C;00F6
G7D;00F5
G7E;00FA
G7F;00F9
G80;00FB
G81;00FC
G82;2020
G83;00B0
G84;00A2
G85;00A3
G86;00A7
G87;2022
G88;00B6
G89;00DF
G8A;00AE
G8B;00A9
G8C;2122
G8D;00B4
G8E;00A8
G8F;2260
G90;00C6
G91;00D8
G92;221E
G93;00B1
G94;2264
G95;2265
G96;00A5
G97;00B5
G98;2202
G99;2211
G9A;220F
G9B;03C0
G9C;222B
G9D;00AA
G9E;00BA
G9F;2126
GA0;00E6
GA1;00F8
GA2;00BF
GA3;00A1
GA4;00AC
GA5;221A
GA6;0192
GA7;2248
GA8;2206
GA9;00AB
GAA;00BB
GAB;2026
GAC;00A0
GAD;00C0
GAE;00C3
GAF;00D5
GB0;0152
GB1;0153
GB2;2013
GB3;2014
GB4;201C
GB5;201D
GB6;2018
GB7;2019
GB8;00F7
GB9;25CA
GBA;00FF
GBB;0178
GBC;2044
GBD;00A4
GBE;2039
GBF;203A
GC0;FB01
GC1;FB02
GC2;2021
GC3;00B7
GC4;201A
GC5;201E
GC6;2030
GC7;00C2
GC8;00CA
GC9;00C1
GCA;00CB
GCB;00C8
GCC;00CD
GCD;00CE
GCE;00CF
GCF;00CC
GD0;00D3
GD1;00D4
GD2;F8FF
GD3;00D2
GD4;00DA
GD5;00DB
GD6;00D9
GD7;0131
GD8;02C6
GD9;02DC
GDA;00AF
GDB;02D8
GDC;02D9
GDD;02DA
GDE;00B8
GDF;02DD
GE0;02DB
GE1;02C7
GE2;0141
GE3;0142
GE4;0160
GE5;0161
GE6;017D
GE7;017E
GE8;00A6
GE9;00D0
GEA;00F0
GEB;00DD
GEC;00FD
GED;00DE
GEE;00FE
GEF;2212
GF0;00D7
GF1;00B9
GF2;00B2
GF3;00B3
GF4;00BD
GF5;00BC
GF6;00BE
GF7;20A3
GF8;011E
GF9;011F
GFA;0130
GFB;015E
GFC;015F
GFD;0106
GFE;0107
GFF;010C
G100;010D
G101;0111
